Question,Rewritten Question,Code,Answer Type,Generated Answer,Expected Answer
Which category does the richest billionaire belong to?,What is the value of the category attribute for the billionaire with the highest final worth?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
billionaire_with_highest_worth = dataset.loc[dataset[""finalWorth""] == dataset[""finalWorth""].max(), :]
category_value = billionaire_with_highest_worth[""category""].iloc[0]

return category_value
",category,Automotive,Automotive
What's the country of origin of the oldest billionaire?,Which country is associated with the billionaire having the maximum age?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
max_age_individual = db.loc[db[""age""] == db[""age""].max()]
country = max_age_individual[""country""].iloc[0]

return country
",string,United States,United States
What's the gender of the billionaire with the highest philanthropy score?,What is the gender of the individual having the maximum philanthropy score?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
max_philanthropy_individual = dataset.loc[dataset[""philanthropyScore""] == dataset[""philanthropyScore""].max()]
gender = max_philanthropy_individual[""gender""].iloc[0]

return gender
",string,M,M
What's the source of wealth for the youngest billionaire?,What is the source attribute value for the billionaire with the minimum age?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
min_age_individual = dataset.loc[dataset[""age""] == dataset[""age""].min()]
source_value = min_age_individual[""source""].iloc[0]

return source_value
",string,drugstores,drugstores
What is the title of the billionaire with the lowest rank?,What is the title of the person having the minimum rank in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
min_rank_person = dataset.loc[dataset[""rank""] == dataset[""rank""].min()]
title = min_rank_person[""title""].iloc[0]

return title
",string,CEO,
List the top 3 countries with the most billionaires.,"What are the names of the top 3 countries with the highest number of billionaires, ordered from most to least?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
country_counts = dataset['country'].value_counts().nlargest(3).index.tolist()
return country_counts
",list of string,"['United States', 'China', 'India']","['United States', 'China', 'India']"
List the top 2 most common sources of wealth for billionaires.,What are the two most frequent values in the source column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
source_counts = dataset['source'].value_counts()
top_two_sources = source_counts.head(2).index.tolist()

return top_two_sources
",list of string,"['real estate', 'investments']","['real estate', 'investments']"
List the 4 cities where the four youngest billionaires live.,What are the names of the four cities corresponding to the four individuals with the lowest age values in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
four_youngest = dataset.nsmallest(4, 'age')
cities = four_youngest['city'].tolist()

return cities
",list of string,"[nan, 'Los Angeles', 'Jiaozuo', 'Oslo']","['', 'Los Angeles', 'Jiaozuo', 'Oslo']"
List the 4 categories with the fewest billionaires.,What are the names of the four categories that have the smallest number of billionaires listed in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
category_counts = dataset['category'].value_counts()
smallest_categories = category_counts.nsmallest(4).index.tolist()

return smallest_categories
",list of string,"['Gambling & Casinos', 'Sports', 'Logistics', 'Telecom']","['Telecom', 'Logistics', 'Sports', 'Gambling & Casinos']"
List the 2 countries with the least number of billionaires. If there are more than two with the same number take the first two alphabetically.,What are the names of the first two countries alphabetically that have the smallest number of billionaires in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
country_counts = dataset['country'].value_counts()
sorted_countries = country_counts.sort_values()
first_two_countries = sorted_countries.index[:2].tolist()

return first_two_countries
",list of string,"['Andorra', 'Bahrain']","['Algeria', 'Andorra']"
List the top 5 ranks of billionaires who are not self-made.,"Retrieve the ranks of the five billionaires with the lowest selfMade attribute set to False, ordered from smallest to largest rank.","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
not_self_made = dataset[dataset[""selfMade""] == False]
sorted_by_rank = not_self_made.sort_values(by=""rank"")
lowest_five_ranks = sorted_by_rank[""rank""].head(5).tolist()

return lowest_five_ranks
",list of (uint16),"[3, 10, 14, 16, 18]","[3, 10, 14, 16, 18]"
List the youngest 3 ages of billionaires who have a philanthropy score of 5.,What are the three smallest values of age for billionaires whose philanthropy score is equal to 5?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
filtered_data = dataset[dataset[""philanthropyScore""] == 5]
ages = filtered_data[""age""].tolist()
ages.sort()
smallest_three_ages = ages[:3]

return smallest_three_ages
",list of float64,"[48.0, 83.0, 83.0]","[48.0, 83.0, 83.0]"
List the highest 6 final worth values of billionaires in the 'Technology' category.,What are the 6 largest values in the finalWorth column for rows where the category is Technology?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
technology_individuals = dataset[dataset[""category""] == ""Technology""]
largest_worths = technology_individuals[""finalWorth""].nlargest(6).tolist()

return largest_worths
",list of (uint32),"[171000, 129000, 111000, 107000, 106000, 91400]","[171000, 129000, 111000, 107000, 106000, 91400]"
List the top 4 ranks of female billionaires.,What are the ranks of the top 4 female individuals listed in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
female_individuals = dataset[dataset[""gender""] == ""Female""].sort_values(""finalWorth"", ascending=False)
top_4_ranks = female_individuals[""rank""].head(4).tolist()

return top_4_ranks
",list of (uint16),[],"[14, 18, 21, 30]"
List the top 2 final worth values of billionaires in the 'Automotive' category.,What are the two highest finalWorth values for billionaires whose category is Automotive?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
automotive_billionaires = dataset[dataset[""category""] == ""Automotive""].sort_values(""finalWorth"", ascending=False)
top_two_worths = automotive_billionaires[""finalWorth""].head(2).tolist()

return top_two_worths
",list of (uint32),"[219000, 44800]","[219000, 44800]"
Did any children below the age of 18 survive?,Are there any rows in the dataset where Survived is True and Age is less than 18?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
young_survivors = dataset[(dataset[""Survived""] == True) & (dataset[""Age""] < 18)]
if len(young_survivors) > 0:
return True
else:
return False
",bool,True,True
Were there any passengers who paid a fare of more than $500?,Is there at least one passenger whose Fare is greater than 500?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
fare_greater_than_500 = dataset[dataset[""Fare""] > 500]
if len(fare_greater_than_500) > 0:
return True
else:
return False
",bool,True,True
Is every passenger's name unique?,Are all the values in the Name column distinct?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
names = dataset[""Name""].unique()
num_distinct_names = len(names)
total_names = len(dataset)

are_all_distinct = num_distinct_names == total_names

return are_all_distinct
",bool,True,True
Were there any female passengers in the 3rd class who survived?,"Are there any passengers with Survived as True, Pclass equal to 3 and Sex equal to female?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
filtered_passengers = dataset[(dataset['Survived'] == True) & (dataset['Pclass'] == 3) & (dataset['Sex'] == 'female')]
if len(filtered_passengers) > 0:
return True
else:
return False
",bool,True,True
How many unique passenger classes are present in the dataset?,What is the count of distinct values found within the Pclass column?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
distinct_pclass_count = db[""Pclass""].nunique()

return distinct_pclass_count
",int64,3,3
What's the maximum age of the passengers?,What is the highest value present in the Age column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
highest_age = dataset[""Age""].max()

return highest_age
",float64,80.0,80.0
How many passengers boarded without any siblings or spouses?,What is the count of passengers who have Siblings_Spouses Aboard equal to zero?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
count = len(db[db[""Siblings_Spouses Aboard""] == 0])

return count
",int64,604,604
"On average, how much fare did the passengers pay?",What is the mean of the Fare column?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
mean_fare = db[""Fare""].mean()

return mean_fare
",float64,32.30542000000000,32.31
Which passenger class has the highest number of survivors?,What is the value of Pclass that corresponds to the maximum number of survivors in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
survival_by_pclass = dataset.groupby('Pclass')['Survived'].sum()
max_survivors_pclass = survival_by_pclass[survival_by_pclass == survival_by_pclass.max()].index[0]

return str(max_survivors_pclass)
",string,1,1
What's the most common gender among the survivors?,Which gender appears most frequently in the Sex column for those who survived?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
survivors = dataset[dataset['Survived'] == True]
gender_counts = survivors['Sex'].value_counts()
most_frequent_gender = gender_counts.idxmax()

return most_frequent_gender
",string,female,female
"Among those who survived, which fare range was the most common: (0-50, 50-100, 100-150, 150+)?",What fare range appears most frequently among the survivors in the dataset?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
survivors = db[db[""Survived""] == True]
fare_counts = survivors[""Fare""].value_counts()
most_frequent_fare = fare_counts.index[0]

return str(most_frequent_fare)
",string,13.0,0.0-50
"What's the most common age range among passengers: (0-18, 18-30, 30-50, 50+)?",,,,ERROR,18.0-30
Name the top 3 passenger classes by survival rate.,,,,ERROR,"[1, 2, 3]"
"Could you list the 3 fare ranges present in the dataset with the least survivors: (0-50, 50-100, 100-150, 150+)?",What are the three fare categories with the fewest number of survivors in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
survival_by_fare = dataset.groupby('Fare')['Survived'].sum().sort_values()
top_three_fares = survival_by_fare.index[:3].tolist()

return top_three_fares
",list of (string),"[14.1083, 20.2125, 19.9667]","['50-100', '150+', '100-150']"
"What are the top 4 age ranges ('30-50', '18-30', '0-18', '50+') with the highest number of survivors?","Retrieve the four age ranges ('30-50', '18-30', '0-18', '50+') that correspond to the highest counts of survivors in the dataset.","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
age_ranges = {'0-18': [], '18-30': [], '30-50': [], '50+': []}

for index, row in dataset.iterrows():
age = row['Age']
if age <= 18:
age_ranges['0-18'].append(row['Survived'])
elif 18 < age <= 30:
age_ranges['18-30'].append(row['Survived'])
elif 30 < age <= 50:
age_ranges['30-50'].append(row['Survived'])
else:
age_ranges['50+'].append(row['Survived'])

survival_counts = {}
for age_range, survivors in age_ranges.items():
survival_counts[age_range] = sum(survivors)

sorted_age_ranges = sorted(survival_counts.items(), key=lambda item: item[1], reverse=True)

top_four_age_ranges = [age_range for age_range, count in sorted_age_ranges[:4]]
    
return top_four_age_ranges
",list of (string),"['30-50', '18-30', '0-18', '50+']","['30-50', '18-30', '0-18', '50+']"
What are the top 2 genders by average fare paid?,Calculate the average fare for each gender and return the two genders with the highest average fares.,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
average_fare_by_gender = dataset.groupby('Sex')['Fare'].mean()
sorted_fares = average_fare_by_gender.sort_values(ascending=False)
top_two_genders = sorted_fares.index[:2].tolist()

return top_two_genders
",list of (string),"['female', 'male']","['female', 'male']"
What are the oldest 3 ages among the survivors?,Can you return the three largest values from the Age column where Survived is True?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
survived_ages = dataset[dataset[""Survived""] == True][""Age""].tolist()
sorted_ages = sorted(survived_ages, reverse=True)
top_three_ages = sorted_ages[:3]

return top_three_ages
",list of float64,"[63.0, 60.0, 58.0]","[80, 63, 63]"
Which are the top 4 fares paid by survivors?,Return the 4 highest values from the Fare column where Survived is True.,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
survivors = db[db[""Survived""] == True]
highest_fares = survivors['Fare'].nlargest(4).tolist()

return highest_fares
",list of (float64),"[512.3292, 512.3292, 512.3292, 263.0]","[512.329, 512.329, 512.329, 263]"
Could you list the youngest 3 ages among the survivors?,What are the three smallest values in the Age column for rows where Survived is True?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
survivors = db[db[""Survived""] == True]
ages = survivors[""Age""].tolist()
ages.sort()
smallest_three_ages = ages[:3]

return smallest_three_ages
",list of (float64),"[3.0, 3.0, 4.0]","[1, 1, 1]"
Which are the lowest 4 fares among those who didn't survive?,Retrieve the 4 smallest values from the Fare column for rows where Survived is False.,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
not_survived = db[db[""Survived""] == False]
smallest_fares = not_survived[""Fare""].nsmallest(4).tolist()

return smallest_fares
",list of float64,"[0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0]"
Is the average age of the respondents above 30?,,,,ERROR,True
Are there more single individuals than married ones in the dataset?,,,,ERROR,True
Do the majority of respondents have a height greater than 170 cm?,,,,ERROR,True
Is the most frequent hair color black?,,,,ERROR,False
How many unique nationalities are present in the dataset?,,,,ERROR,13
What is the average gross annual salary?,,,,ERROR,56332.81720400000
How many respondents wear glasses all the time?,,,,ERROR,98
What's the median age of the respondents?,,,,ERROR,33.0
What is the most common level of studies achieved?,,,,ERROR,Master
Which body complexity has the least number of respondents?,,,,ERROR,Very thin
What's the most frequent eye color?,,,,ERROR,Brown
Which sexual orientation has the highest representation?,,,,ERROR,Heterosexual
List the top 3 most common areas of knowledge.,,,,ERROR,"['Computer Science', 'Business', 'Enginering & Architecture']"
List the bottom 3 hair lengths in terms of frequency.,,,,ERROR,"['Medium', 'Long', 'Bald']"
Name the top 5 civil statuses represented in the dataset.,,,,ERROR,"['Single', 'Married', 'In a Relationship', 'In a Relationship Cohabiting', 'Divorced']"
What are the 4 least common hair colors?,,,,ERROR,"['Red', 'Other', 'White', 'Blue']"
What are the top 4 maximum gross annual salaries?,,,,ERROR,"[500000.0, 360000.0, 300000.0, 300000.0]"
Name the 3 happiness values for the 3 unhappiest people in the happiness scale.,,,,ERROR,"[2, 2, 2]"
What are the 5 highest ages present in the dataset?,,,,ERROR,"[65, 62, 60, 60, 59]"
List the bottom 6 skin tone values based on frequency.,,,,ERROR,"[2, 1, 6, 0, 7, 8]"
Are there any trips with a total distance greater than 30 miles?,Is there at least one trip where the trip distance is greater than 30.0?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
trip_distances = db[""trip_distance""]
has_long_trip = (trip_distances > 30.0).any()

return has_long_trip
",bool,False,False
Were there any trips that cost more than $100 in total?,Is there any record in the dataset where the total amount exceeds 100?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
total_amount_exceeds_100 = dataset[""total_amount""] > 100
any_record_exists = total_amount_exceeds_100.any()

return any_record_exists
",bool,False,False
Is there any trip with more than 6 passengers?,Are there any records in the dataset where the passenger count is greater than 6?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
passenger_count_gt_6 = dataset[dataset[""passenger_count""] > 6]
result = len(passenger_count_gt_6) > 0

return result
",bool,False,False
Did all the trips use a payment type of either 1 or 2?,Is every entry in the dataset such that the payment type is either 1 or 2?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
payment_types = dataset['payment_type'].unique()
valid_payment_types = {1, 2}

return valid_payment_types.issubset(set(payment_types))
",bool,True,False
What is the maximum fare amount charged for a trip?,What is the largest value present in the fare_amount column?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
largest_fare = db[""fare_amount""].max()

return largest_fare
",float64,75.25,75.25
How many unique pickup locations are in the dataset?,What is the count of distinct values present in the PULocationID column?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
distinct_pulocationid_count = db[""PULocationID""].nunique()

return distinct_pulocationid_count
",int64,96,96
What is the average tip amount given by passengers?,Calculate the mean value of the tip_amount column in the Taxi dataset.,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
mean_tip_amount = db['tip_amount'].mean()

return mean_tip_amount
",float64,2.7366810000000000,2.74
How many trips took place in the airport area?,What is the count of trips where the Airport_fee is not null?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
count = db[db['Airport_fee'].notna()].shape[0]

return count
",int64,99807,99807
Which payment type is the most common in the dataset?,What is the most frequent value in the payment_type column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
most_frequent_payment_type = dataset['payment_type'].mode()[0]

return most_frequent_payment_type
",string,1,1
Which vendor has the most trips recorded?,What is the value of VendorID that appears most frequently in the dataset?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
vendor_counts = db['VendorID'].value_counts()
most_frequent_vendor = vendor_counts.idxmax()

return str(most_frequent_vendor)
",string,2,2
What is the most common drop-off location?,Which DOLocationID appears most frequently in the dataset?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
dolocationid_counts = db['DOLocationID'].value_counts()
most_frequent_dolocationid = dolocationid_counts.index[0]

return str(most_frequent_dolocationid)
",string,236,236
On which date did the first recorded trip occur?,What is the earliest value in the tpep_pickup_datetime column?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
earliest_pickup_time = db[""tpep_pickup_datetime""].min()

return earliest_pickup_time
",datetime64[us],31-01-2023 23:52,31-01-2023
Which are the top 2 most frequent pickup locations?,What are the two PULocationID values that appear most often in the dataset?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
pulocationid_counts = db['PULocationID'].value_counts()
top_two_pulocations = pulocationid_counts.head(2).index.tolist()

return top_two_pulocations
",list of (string),"[161, 237]","[161, 237]"
Name the 4 most common rate codes used.,,,,ERROR,"[1, 2, 5, 4]"
list the 2 most frequent store and forward flags.,What are the two most common values present in the store_and_fwd_flag column?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
value_counts = db['store_and_fwd_flag'].value_counts()
most_common_values = value_counts.nlargest(2).index.tolist()

return most_common_values
",list of (string),"['N', 'Y']","['N', 'Y']"
Identify the top 4 payment types used by frequency,What are the 4 most frequent payment types in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
payment_type_counts = dataset['payment_type'].value_counts()
most_frequent_payment_types = payment_type_counts.nlargest(4).index.tolist()

return most_frequent_payment_types
",list of (string),"[1, 2, 4, 3]","[1, 2, 4, 3]"
Report the 4 highest toll amounts paid.,What are the four largest values present in the tolls_amount column?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
largest_tolls = db['tolls_amount'].nlargest(4).tolist()

return largest_tolls
",list of (uint8),"[0, 0, 0, 0]","[0, 0, 0, 0]"
list the top 3 longest trip distances,Retrieve the trip distances corresponding to the 3 largest values in the trip_distance column.,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
trip_distances = db[""trip_distance""].tolist()
sorted_distances = sorted(trip_distances, reverse=True)
top_3_distances = sorted_distances[:3]

return top_3_distances
",list of (float64),"[19.83, 19.74, 19.68]","[19.83, 19.74, 19.68]"
Identify the 5 largest total amounts paid for trips.,What are the 5 highest values in the total_amount column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
highest_total_amounts = dataset['total_amount'].nlargest(5).tolist()

return highest_total_amounts
",list of (float64),"[80.0, 80.0, 80.0, 80.0, 79.55]","[80.0, 80.0, 80.0, 80.0, 80.0]"
Report the 6 highest fare amounts charged.,What are the 6 largest values present in the fare_amount column?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
largest_fare_amounts = db['fare_amount'].nlargest(6).tolist()

return largest_fare_amounts
",list of (float64),"[75.25, 74.4, 73.0, 73.0, 73.0, 73.0]","[75.25, 74.4, 73.0, 73.0, 73.0, 73.0]"
Are there any complaints made in Brooklyn?,Is there any row in the dataset where the borough is Brooklyn?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
brooklyn_exists = db[db[""borough""] == ""Brooklyn""].shape[0] > 0

return brooklyn_exists
",bool,False,True
Do any complaints have 'Dog' as a descriptor?,,,,ERROR,True
Were there any complaints raised in April?,Is there any record in the dataset where the month name is April?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
april_records = db[db[""month_name""] == ""April""]
if len(april_records) > 0:
return True
else:
return False
",bool,True,True
Is the Mayor's office of special enforcement one of the agencies handling complaints?,"Does the agency named ""Mayor's office of special enforcement"" appear in the list of agencies handling complaints?","def answer_question(db, datasetTableSchema, question, expectedAnswerType):
agencies = db[""agency_name""].unique()
target_agency = ""Mayor's office of special enforcement""

if target_agency in agencies:
return True
else:
return False
",bool,False,True
How many complaints have been made in Queens?,"What is the count of records where the borough column equals ""Queens""?","def answer_question(db, datasetTableSchema, question, expectedAnswerType):
queens_records = db[db[""borough""] == ""Queens""]
count = len(queens_records)

return count
",int64,0,23110
What's the total number of unique agencies handling complaints?,How many distinct values are present in the agency column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
distinct_agencies = dataset['agency'].nunique()

return distinct_agencies
",int64,22,22
How many complaints were raised at midnight?,What is the count of complaints where the hour of creation is equal to 0?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
complaints_at_hour_zero = db[db['hour'] == 0]
count = len(complaints_at_hour_zero)

return count
",int64,14811,14811
How many unique descriptors are present in the dataset?,What is the count of distinct values found in the descriptor column?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
distinct_descriptors = db[""descriptor""].nunique()

return distinct_descriptors
",int64,1131,1131
Which borough has the most complaints?,,,,ERROR,BROOKLYN
Which month sees the highest number of complaints?,What is the name of the month that has the highest count of complaints in the dataset?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
complaint_counts = db.groupby('month_name')['segmentation_1'].count()
max_month = complaint_counts[complaint_counts == complaint_counts.max()].index[0]

return max_month
",string,July,July
Which weekday has the least complaints?,What is the weekday with the minimum count of complaints in the dataset?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
weekday_counts = db['weekday_name'].value_counts()
min_weekday = weekday_counts.idxmin()

return min_weekday
",string,Sunday,Sunday
Which agency is least frequently handling complaints?,What is the name of the agency that appears least often in the complaint data?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
agency_counts = db['agency'].value_counts()
least_common_agency = agency_counts.idxmin()

return least_common_agency
",string,ACS,ACS
List the top 5 most frequent complaint types.,What are the 5 complaint types that occur most often in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
complaint_type_counts = dataset['complaint_type'].value_counts()
most_common_complaint_types = complaint_type_counts.head(5).index.tolist()

return most_common_complaint_types
",list of string,"['Noise - Residential', 'HEAT/HOT WATER', 'Illegal Parking', 'Blocked Driveway', 'Street Condition']","['Noise - Residential', 'HEAT/HOT WATER', 'Illegal Parking', 'Blocked Driveway', 'Street Condition']"
Which 4 agencies handle the most complaints?,Retrieve the names of the top 4 agencies with the highest count of complaints.,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
agency_counts = db['agency'].value_counts()
top_4_agencies = agency_counts.head(4).index.tolist()

return top_4_agencies
",list of string,"['NYPD', 'HPD', 'DOT', 'DSNY']","['NYPD', 'HPD', 'DOT', 'DSNY']"
Name the 2 least frequent descriptors for complaints by inverse alphabetical order.,,,,ERROR,"['Booting Company', 'Ready NY - Businesses', 'Animal']"
Mention the 2 most common weekdays for complaints.,What are the two weekdays that appear most frequently in the complaint data?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
weekday_counts = db['weekday_name'].value_counts()
top_two_weekdays = weekday_counts.nlargest(2).index.tolist()

return top_two_weekdays
",list of string,"['Tuesday', 'Monday']","['Tuesday', 'Monday']"
What are the top 4 hours with the most complaints?,Retrieve the four hour values that appear most frequently in the complaint_type column.,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
hour_counts = db['hour'].value_counts().nlargest(4).index.tolist()

return hour_counts
",list of (uint8),"[0, 12, 10, 11]","[0, 12, 10, 11]"
State the 3 lowest unique complaint keys.,Retrieve the three smallest distinct values from the unique_key column.,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
smallest_unique_keys = db['unique_key'].drop_duplicates().nsmallest(3).tolist()

return smallest_unique_keys
",list of (uint32),"[15628852, 15634748, 15634996]","[15628852, 15634748, 15634996]"
Which 2 hours see the least complaints?,What are the two hours with the lowest count of complaints in the dataset?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
hour_counts = db['hour'].value_counts().sort_values(ascending=True)
two_lowest_hours = list(hour_counts.index[:2])

return two_lowest_hours
",string,"[4, 5]","[6, 2]"
List the 6 highest complaint numbers from the dataset.,Retrieve the top 6 largest values from the complaint_type column.,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
top_6_complaint_types = db['complaint_type'].value_counts().nlargest(6).index.tolist()

return top_6_complaint_types
",list of (int64),"['Noise - Residential', 'HEAT/HOT WATER', 'Illegal Parking', 'Blocked Driveway', 'Street Condition', 'Street Light Condition']","[54954250, 54954040, 54952675, 54950924, 54950765, 54950581]"
Are all properties in the dataset located in the same neighbourhood?,Do all entries in the dataset have identical values for both neighbourhood_cleansed and host_neighbourhood columns?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
neighborhoods = dataset['neighbourhood_cleansed'].unique()
host_neighborhoods = dataset['host_neighbourhood'].unique()

if len(neighborhoods) == 1 and len(host_neighborhoods) == 1:
return True
else:
return False
",bool,False,False
Do all hosts verify their identity?,Is the host_identity_verified column equal to True for all rows in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
is_host_identity_verified_true = (dataset[""host_identity_verified""] == ""t"").all()

return is_host_identity_verified_true
",bool,False,False
