Question,Rewritten Question,Code,Answer Type,Generated Answer,Expected Answer
What's the country of origin of the oldest billionaire?,In which country was the oldest billionaire born?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Find the row with the minimum age
    oldest_billionaire = dataset.loc[dataset['age'].idxmin()]
    
    # Return the country of the oldest billionaire
    return oldest_billionaire['country']
",string,,United States
What's the gender of the billionaire with the highest philanthropy score?,,,,ERROR,M
What's the source of wealth for the youngest billionaire?,What is the source of wealth for the youngest person listed in the Forbes dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Find the index of the youngest person
    youngest_index = dataset[""age""].idxmin()
    
    # Retrieve the source of wealth for the youngest person
    youngest_source_of_wealth = dataset.loc[youngest_index, ""source""]
    
    return youngest_source_of_wealth
",string,drugstores,drugstores
What is the title of the billionaire with the lowest rank?,Which title is held by the billionaire who has the lowest rank?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    # Filter for billionaires
    billionaires = db[db['finalWorth'] > 0]
    
    # Find the billionaire with the lowest rank
    lowest_rank_billionaire = billionaires.loc[billionaires['rank'] == billionaires['rank'].min()]
    
    # Return the title of this individual
    return lowest_rank_billionaire['title'].values[0]

",string,CEO,
List the top 3 countries with the most billionaires.,Which are the three countries having the highest number of billionaires?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    # Extracting country and rank columns
    country_rank = db[['country', 'rank']]
    
    # Group by country and count the number of billionaires in each country
    country_billionaire_count = country_rank.groupby('country').count().sort_values(by='rank', ascending=False)
    
    # Get top 3 countries with the highest number of billionaires
    top_countries = country_billionaire_count.head(3).index.tolist()
    
    return top_countries
",list of string,"['United States', 'China', 'India']","['United States', 'China', 'India']"
List the top 2 most common sources of wealth for billionaires.,What are the two most frequent sources of wealth among the billionaires listed in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Extract the source column from the dataset
    source_column = dataset['source']
    
    # Get the value counts of the source column to find the most frequent sources
    value_counts = source_column.value_counts().head(2)
    
    # Convert the index of the value_counts Series to a list
    most_frequent_sources = value_counts.index.tolist()
    
    return most_frequent_sources
",list of (category),"['real estate', 'investments']","['real estate', 'investments']"
List the 4 cities where the four youngest billionaires live.,,,,ERROR,"['', 'Los Angeles', 'Jiaozuo', 'Oslo']"
List the 4 categories with the fewest billionaires.,,,,ERROR,"['Telecom', 'Logistics', 'Sports', 'Gambling & Casinos']"
List the 2 countries with the least number of billionaires. If there are more than two with the same number take the first two alphabetically.,"Which are the two countries with the fewest billionaires? If multiple countries have the same number, return the first two alphabetically.","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter for rows where selfMade is True to consider only billionaires
    billionaire_data = dataset[dataset['selfMade'] == True]
    
    # Group by country and count the number of billionaires in each country
    country_billionaire_count = billionaire_data.groupby('country')['personName'].count().reset_index(name='billionaire_count')
    
    # Sort the countries based on the number of billionaires and then alphabetically
    sorted_countries = country_billionaire_count.sort_values(by=['billionaire_count', 'country']).head(2)
    
    # Extract the top two countries
    top_two_countries = sorted_countries['country'].tolist()
    
    return top_two_countries
",list of string,"['Peru', 'Portugal']","['Algeria', 'Andorra']"
List the top 5 ranks of billionaires who are not self-made.,"What are the ranks of billionaires who are not self-made, sorted in descending order, and list the top 5?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter out non-self-made billionaires
    non_self_made_billionaires = dataset[~dataset['selfMade']]
    
    # Sort the filtered dataset by rank in descending order and get the top 5 ranks
    top_ranks = non_self_made_billionaires['rank'].sort_values(ascending=False).head(5).tolist()
    
    return top_ranks
",list of uint16,"[2578, 2578, 2578, 2578, 2578]","[3, 10, 14, 16, 18]"
List the youngest 3 ages of billionaires who have a philanthropy score of 5.,What are the ages of the three youngest billionaires who have a philanthropy score of 5?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter the dataset to include only those with a philanthropy score of 5
    filtered_data = dataset[dataset['philanthropyScore'] == 5.0]
    
    # Sort the data by age in ascending order
    sorted_data = filtered_data.sort_values(by='age')
    
    # Select the top three youngest individuals
    youngest_three = sorted_data.head(3)
    
    # Extract the ages of these individuals
    ages = youngest_three['age'].tolist()
    
    return ages
",list of float64,"[48.0, 83.0, 83.0]","[48.0, 83.0, 83.0]"
List the highest 6 final worth values of billionaires in the 'Technology' category.,What are the top 6 highest final worth values for billionaires in the Technology category?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter the dataset to include only billionaires in the Technology category
    tech_billionaires = dataset[(dataset['category'] == 'Technology') & (dataset['finalWorth'] > 0)]
    
    # Sort the filtered dataset by finalWorth in descending order and get the top 6 values
    top_6_worth = tech_billionaires.nlargest(6, 'finalWorth')['finalWorth'].tolist()
    
    return top_6_worth
",list of uint32,"[171000, 129000, 111000, 107000, 106000, 91400]","[171000, 129000, 111000, 107000, 106000, 91400]"
List the top 4 ranks of female billionaires.,,,,ERROR,"[14, 18, 21, 30]"
List the top 2 final worth values of billionaires in the 'Automotive' category.,,,,ERROR,"[219000, 44800]"
Did any children below the age of 18 survive?,Were there any survivors who were children under the age of 18?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter the dataset to include only survivors
    survivors = dataset[dataset[""Survived""]]
    
    # Further filter to include only those who were children under the age of 18
    children_survivors = survivors[survivors[""Age""] < 18]
    
    # Check if there are any entries in this filtered dataset
    is_there_any_child_survivor = not children_survivors.empty
    
    return is_there_any_child_survivor
",bool,TRUE,TRUE
Were there any passengers who paid a fare of more than $500?,Did any passengers pay a fare exceeding $500?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    exceeded_fare = dataset.loc[dataset[""Fare""] > 500]
    is_any_passenger = not exceeded_fare.empty

    return is_any_passenger
",bool,TRUE,TRUE
Is every passenger's name unique?,Are all the names of the passengers unique?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    # Extracting unique names from the dataset
    unique_names = db['Name'].drop_duplicates()

    # Checking if the length of unique names is equal to the total number of names
    are_all_names_unique = len(unique_names) == len(db)

    return are_all_names_unique
",bool,TRUE,TRUE
Were there any female passengers in the 3rd class who survived?,Did any female passengers in the 3rd class survive?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    # Load the data into a DataFrame
    df = pd.DataFrame(db)
    
    # Filter the dataframe for female passengers in 3rd class
    third_class_females = df[(df['Pclass'] == 3) & (df['Sex'] == 'female') & (df['Survived'] == True)]
    
    # Check if there are any such passengers
    did_any_survive = not third_class_females.empty
    
    return did_any_survive
",bool,TRUE,TRUE
How many unique passenger classes are present in the dataset?,What is the total number of distinct passenger classes available in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    unique_classes = dataset['Pclass'].nunique()
    
    return unique_classes
",int64,3,3
What's the maximum age of the passengers?,What is the highest age recorded among the passengers?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_age = dataset[""Age""].max()
    
    return max_age
",float64,80,80
How many passengers boarded without any siblings or spouses?,How many passengers did not board with any siblings or spouses?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Count the number of passengers who did not board with any siblings or spouses
    count_no_siblings = dataset[dataset[""Siblings_Spouses Aboard""] == 0][""Siblings_Spouses Aboard""].count()
    
    return count_no_siblings
",int64,604,604
"On average, how much fare did the passengers pay?",What was the average fare paid by the passengers on the Titanic?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    average_fare = dataset[""Fare""].mean()
    
    return average_fare
",float64,32.30542018,32.31
Which passenger class has the highest number of survivors?,In which passenger class do the maximum number of passengers survive?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    # Filter the dataset to only include survivors
    survivors = db[db['Survived'] == True]
    
    # Group by 'Pclass' and count the number of survivors in each class
    survival_counts = survivors.groupby('Pclass').size()
    
    # Find the passenger class with the maximum number of survivors
    max_class = survival_counts.idxmax()
    
    return max_class

",uint8,1,1
What's the most common gender among the survivors?,Which gender appears most frequently among the passengers who survived?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    survived_passengers = dataset[dataset[""Survived""]]
    gender_counts = survived_passengers[""Sex""].value_counts()
    most_common_gender = gender_counts.idxmax()

    return most_common_gender
",string,female,female
"Among those who survived, which fare range was the most common: (0-50, 50-100, 100-150, 150+)?",What was the most frequent fare range among passengers who survived?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter the dataset to include only survivors
    survivors = dataset[dataset[""Survived""]]
    
    # Group by fare and count occurrences
    fare_counts = survivors.groupby(""Fare"").size()
    
    # Get the most frequent fare range
    most_frequent_fare = fare_counts.idxmax()
    
    return most_frequent_fare
",string,13,0-50
"What's the most common age range among passengers: (0-18, 18-30, 30-50, 50+)?","Which age range (0-18, 18-30, 30-50, 50+) has the highest frequency among passengers?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Define age ranges and their labels
    bins = [0, 18, 30, 50, float('inf')]
    labels = ['0-18', '18-30', '30-50', '50+']
    
    # Cut the Age column into these defined age ranges
    dataset['Age Range'] = pd.cut(dataset['Age'], bins=bins, labels=labels)
    
    # Group by the new Age Range column and count occurrences
    age_range_counts = dataset.groupby('Age Range').size()
    
    # Find the age range with the highest frequency
    max_age_range = age_range_counts.idxmax()
    
    return max_age_range

",string,18-30,18-30
Name the top 3 passenger classes by survival rate.,Which are the three passenger classes with the highest survival rates?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Group by Pclass and calculate the mean of Survived to get survival rate for each class
    survival_rates = dataset.groupby('Pclass')['Survived'].mean().sort_values(ascending=False)
    
    # Get the top three passenger classes based on survival rates
    top_three_classes = survival_rates.head(3).index.tolist()
    
    return top_three_classes
",list of uint8,"[1, 2, 3]","[1, 2, 3]"
"Could you list the 3 fare ranges present in the dataset with the least survivors: (0-50, 50-100, 100-150, 150+)?",,,,ERROR,"['50-100', '150+', '100-150']"
"What are the top 4 age ranges ('30-50', '18-30', '0-18', '50+') with the highest number of survivors?",,,,ERROR,"['30-50', '18-30', '0-18', '50+']"
What are the top 2 genders by average fare paid?,Which are the two genders with the highest average fare paid?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    # Calculate the mean fare for each gender and sort them in descending order
    avg_fare_by_gender = db.groupby('Sex')['Fare'].mean().sort_values(ascending=False)
    
    # Get the top two genders based on average fare
    top_two_genders = list(avg_fare_by_gender.head(2).index)

    return top_two_genders
",list of (type),"['female', 'male']","['female', 'male']"
What are the oldest 3 ages among the survivors?,Which are the three highest ages among individuals who survived?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter the dataset to include only survivors
    survivors = dataset[dataset[""Survived""] == True]
    
    # Sort the survivors by age in descending order and get the top three ages
    top_three_ages = survivors.sort_values(by='Age', ascending=False).head(3)['Age'].tolist()
    
    return top_three_ages
",list of float64,"[80.0, 63.0, 63.0]","[80, 63, 63]"
Which are the top 4 fares paid by survivors?,What are the four highest fare amounts paid by survivors?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter the dataset to include only survivors
    survivors = dataset[dataset[""Survived""]]
    
    # Sort the survivors by Fare in descending order and select the top 4
    top_fares = survivors.sort_values(by='Fare', ascending=False).head(4)['Fare'].tolist()
    
    return top_fares
",list of float64,"[512.3292, 512.3292, 512.3292, 263.0]","[512.329, 512.329, 512.329, 263]"
Could you list the youngest 3 ages among the survivors?,What are the ages of the three youngest survivors?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter the dataset to include only survivors
    survivors = dataset[dataset[""Survived""] == True]
    
    # Sort the survivors by age in ascending order
    youngest_survivors = survivors.sort_values(by='Age')
    
    # Select the ages of the three youngest survivors
    youngest_ages = list(youngest_survivors['Age'].head(3))
    
    return youngest_ages
",list of float64,"[1.0, 1.0, 1.0]","[1, 1, 1]"
Which are the lowest 4 fares among those who didn't survive?,What are the four smallest Fare values for passengers who did not survive?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter the dataset to include only passengers who did not survive
    not_survived = dataset[dataset[""Survived""] == False]
    
    # Extract the Fare values for these passengers
    fares = not_survived[""Fare""]
    
    # Get the four smallest Fare values
    smallest_fares = fares.nsmallest(4).tolist()
    
    return smallest_fares
",list of float64,"[0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0]"
Is the average age of the respondents above 30?,,,,ERROR,TRUE
Are there more single individuals than married ones in the dataset?,,,,ERROR,TRUE
Do the majority of respondents have a height greater than 170 cm?,,,,ERROR,TRUE
Is the most frequent hair color black?,,,,ERROR,FALSE
How many unique nationalities are present in the dataset?,,,,ERROR,13
What is the average gross annual salary?,,,,ERROR,56332.8172
How many respondents wear glasses all the time?,How many respondents indicated that they wear glasses all the time?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter the dataset to find respondents who wear glasses all the time
    always_wear_glasses = dataset[dataset[""How often do you wear glasses? ðŸ‘“""] == ""all the time""]
    
    # Count the number of such respondents
    count_always_wear_glasses = len(always_wear_glasses)
    
    return count_always_wear_glasses
",int64,0,98
What's the median age of the respondents?,,,,ERROR,33
What is the most common level of studies achieved?,What level of studies has the highest frequency among the respondents?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Extract the column name for 'What is the maximum level of studies you have achieved? ðŸŽ“ (category)'
    study_column_name = [col for col in dataset.columns if ""What is the maximum level of studies you have achieved?"" in col][0]
    
    # Group by the study column and count occurrences
    study_counts = dataset.groupby(study_column_name).size()
    
    # Find the category with the maximum frequency
    max_frequency_study = study_counts.idxmax()
    
    return max_frequency_study
",category,Master,Master
Which body complexity has the least number of respondents?,,,,ERROR,Very thin
What's the most frequent eye color?,,,,ERROR,Brown
Which sexual orientation has the highest representation?,,,,ERROR,Heterosexual
List the top 3 most common areas of knowledge.,,,,ERROR,"['Computer Science', 'Business', 'Enginering & Architecture']"
List the bottom 3 hair lengths in terms of frequency.,,,,ERROR,"['Medium', 'Long', 'Bald']"
Name the top 5 civil statuses represented in the dataset.,,,,ERROR,"['Single', 'Married', 'In a Relationship', 'In a Relationship Cohabiting', 'Divorced']"
What are the 4 least common hair colors?,,,,ERROR,"['Red', 'Other', 'White', 'Blue']"
What are the top 4 maximum gross annual salaries?,,,,ERROR,"[500000.0, 360000.0, 300000.0, 300000.0]"
Name the 3 happiness values for the 3 unhappiest people in the happiness scale.,,,,ERROR,"[2, 2, 2]"
What are the 5 highest ages present in the dataset?,,,,ERROR,"[65, 62, 60, 60, 59]"
List the bottom 6 skin tone values based on frequency.,What are the six least frequent skin tone values present in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Extract the 'skin tone' column from the dataset
    skin_tone_values = dataset['What is your skin tone?'].value_counts().index.tolist()
    
    # Get the six least frequent values
    least_frequent_skin_tones = [skin_tone_values[i] for i in range(6) if i < len(skin_tone_values)]
    
    return least_frequent_skin_tones
",list of (uint8),"[3, 5, 4, 2, 1, 6]","[2, 1, 6, 0, 7, 8]"
Are there any trips with a total distance greater than 30 miles?,Does the dataset contain any taxi trips with a trip_distance greater than 30 miles?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    contains_large_trip = dataset['trip_distance'].gt(30).any()
    
    return contains_large_trip
",bool,FALSE,FALSE
Were there any trips that cost more than $100 in total?,Are there any entries in the dataset where the total_amount exceeds 100?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    exceeds_100 = db['total_amount'] > 100
    result = exceeds_100.any()
    
    return result
",bool,FALSE,FALSE
Is there any trip with more than 6 passengers?,Are there any trips that have more than 6 passengers?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    has_more_than_six_passengers = dataset.query(""passenger_count > 6"").empty == False
    
    return has_more_than_six_passengers
",bool,FALSE,FALSE
Did all the trips use a payment type of either 1 or 2?,Were all the trips paid for using either payment type 1 or payment type 2?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Extract unique payment types from the dataset
    unique_payment_types = dataset['payment_type'].unique()
    
    # Check if all trips were paid using either payment type 1 or payment type 2
    is_all_trips_paid_type_1_or_2 = len(unique_payment_types) <= 2 and (1 in unique_payment_types) and (2 in unique_payment_types)
    
    return is_all_trips_paid_type_1_or_2
",bool,FALSE,FALSE
What is the maximum fare amount charged for a trip?,What is the highest fare amount recorded for any taxi trip?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_fare_amount = dataset[""fare_amount""].max()
    return max_fare_amount
",float64,75.25,75.25
How many unique pickup locations are in the dataset?,,,,ERROR,96
What is the average tip amount given by passengers?,What is the mean value of the tip amounts given by passengers?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    mean_tip_amount = dataset['tip_amount'].mean()
    
    return mean_tip_amount
",float64,2.7366808,2.74
How many trips took place in the airport area?,,,,ERROR,99807
Which payment type is the most common in the dataset?,What is the payment type that occurs most frequently in the dataset?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    from collections import Counter
    
    # Extract payment_type column data
    payment_types = db['payment_type']
    
    # Count the frequency of each payment type
    payment_type_counts = Counter(payment_types)
    
    # Get the most common payment type
    most_common_payment_type = payment_type_counts.most_common(1)[0][0]
    
    return most_common_payment_type
",uint8,1,1
Which vendor has the most trips recorded?,Which vendor recorded the highest number of trips?,"def answer_question(db, datasetTableSchema, question, expectedAnswerType):
    # Extract VendorID and count the number of trips for each vendor
    trip_counts = db['VendorID'].value_counts().reset_index()
    trip_counts.columns = ['VendorID', 'trip_count']
    
    # Get the vendor with the highest number of trips
    max_trips_vendor = trip_counts.loc[trip_counts['trip_count'] == trip_counts['trip_count'].max(), 'VendorID'].iloc[0]
    
    return max_trips_vendor
",string,2,2
What is the most common drop-off location?,,,,ERROR,236
On which date did the first recorded trip occur?,,,,ERROR,31-01-2023
Which are the top 2 most frequent pickup locations?,,,,ERROR,"[161, 237]"
Name the 4 most common rate codes used.,,,,ERROR,"[1, 2, 5, 4]"
list the 2 most frequent store and forward flags.,,,,ERROR,"['N', 'Y']"
Identify the top 4 payment types used by frequency,,,,ERROR,"[1, 2, 4, 3]"
Report the 4 highest toll amounts paid.,,,,ERROR,"[0, 0, 0, 0]"
list the top 3 longest trip distances,What are the three greatest trip distances recorded in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_three_distances = dataset.nlargest(3, 'trip_distance')['trip_distance'].tolist()
    return top_three_distances
",list of float64,"[19.83, 19.74, 19.68]","[19.83, 19.74, 19.68]"
Identify the 5 largest total amounts paid for trips.,What are the top five highest total_amounts paid for trips?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_five_highest_total_amounts = dataset.nlargest(5, 'total_amount')['total_amount'].tolist()
    return top_five_highest_total_amounts
",list of float64,"[80.0, 80.0, 80.0, 80.0, 79.55]","[80.0, 80.0, 80.0, 80.0, 80.0]"
Report the 6 highest fare amounts charged.,,,,ERROR,"[75.25, 74.4, 73.0, 73.0, 73.0, 73.0]"
Are there any complaints made in Brooklyn?,Were there any complaints recorded in the borough of Brooklyn?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    brooklyn_complaints = dataset.loc[dataset[""borough""] == ""Brooklyn""]
    return not brooklyn_complaints.empty
",bool,FALSE,TRUE
Do any complaints have 'Dog' as a descriptor?,Are there any complaints where 'Dog' appears in the descriptor field?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Check if 'descriptor' column exists in the dataset
    if 'descriptor' not in dataset.columns:
        raise ValueError(""Descriptor column does not exist in the dataset."")
    
    # Filter rows where descriptor contains 'Dog'
    dog_complaints = dataset.loc[dataset['descriptor'].str.contains('Dog', na=False)]
    
    # Check if there are any such rows
    has_dog_complaint = not dog_complaints.empty
    
    return has_dog_complaint
",bool,TRUE,TRUE
Were there any complaints raised in April?,Did any complaints occur in the month of April?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Extracting relevant column for checking the month
    complaint_month = dataset['month_name']
    
    # Check if any complaints occurred in April
    did_complaint_occur_in_april = complaint_month.isin(['April']).any()
    
    return did_complaint_occur_in_april
",bool,TRUE,TRUE
Is the Mayor's office of special enforcement one of the agencies handling complaints?,Does the Mayor's office of special enforcement appear in the list of agencies handling complaints?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    agencies = dataset['agency'].unique()
    is_mayors_office_of_special_enforcement = 'Mayor\'s Office of Special Investigations' in agencies
    
    return is_mayors_office_of_special_enforcement
",bool,FALSE,TRUE
How many complaints have been made in Queens?,,,,ERROR,23110
What's the total number of unique agencies handling complaints?,How many distinct agencies are involved in handling complaints?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    unique_agencies = dataset['agency'].nunique()
    
    return unique_agencies
",int64,22,22
How many complaints were raised at midnight?,,,,ERROR,14811
How many unique descriptors are present in the dataset?,,,,ERROR,1131
Which borough has the most complaints?,In which borough were the most complaints recorded?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Group by borough and count the number of complaints for each borough
    borough_complaint_counts = dataset.groupby('borough')['complaint_type'].count()
    
    # Find the borough with the maximum number of complaints
    most_complained_borough = borough_complaint_counts.idxmax()
    
    return most_complained_borough
",string,BROOKLYN,BROOKLYN
Which month sees the highest number of complaints?,,,,ERROR,July
Which weekday has the least complaints?,On which weekday were the fewest complaints received?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Filter out any rows with missing values in the 'weekday_name' column
    valid_entries = dataset.dropna(subset=['weekday_name'])
    
    # Group by 'weekday_name' and count the number of complaints for each weekday
    complaint_counts_by_weekday = valid_entries.groupby('weekday_name')['complaint_type'].count().reset_index()
    
    # Find the weekday with the minimum number of complaints
    min_complaints_weekday = complaint_counts_by_weekday.loc[complaint_counts_by_weekday['complaint_type'] == complaint_counts_by_weekday['complaint_type'].min()]['weekday_name'].iloc[0]
    
    return min_complaints_weekday
",category,Sunday,Sunday
Which agency is least frequently handling complaints?,,,,ERROR,ACS
List the top 5 most frequent complaint types.,What are the top 5 most common complaint types reported?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Extract the column name for 'complaint_type'
    complaint_type_column = [col for col in dataset.columns if 'complaint_type' in col][0]
    
    # Get the value counts of the complaint types
    complaint_counts = dataset[complaint_type_column].value_counts().head(5)
    
    # Return the index of the value counts as a list of categories
    return complaint_counts.index.tolist()
",list of (category),"['Noise - Residential', 'HEAT/HOT WATER', 'Illegal Parking', 'Blocked Driveway', 'Street Condition']","['Noise - Residential', 'HEAT/HOT WATER', 'Illegal Parking', 'Blocked Driveway', 'Street Condition']"
Which 4 agencies handle the most complaints?,,,,ERROR,"['NYPD', 'HPD', 'DOT', 'DSNY']"
Name the 2 least frequent descriptors for complaints by inverse alphabetical order.,What are the two least common descriptors for complaints sorted in reverse alphabetical order?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Group by descriptor and count occurrences
    descriptor_counts = dataset['descriptor'].value_counts()
    
    # Get the two least common descriptors
    least_common_descriptors = descriptor_counts.nsmallest(2).index.tolist()
    
    # Sort the descriptors in reverse alphabetical order
    least_common_descriptors.sort(reverse=True)
    
    return least_common_descriptors

",list of string,"['Telco Connection Blk', 'Summer Camp']","['Booting Company', 'Ready NY - Businesses', 'Animal']"
Mention the 2 most common weekdays for complaints.,Which are the two most frequent weekdays associated with complaints?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Extract the relevant column for counting weekday frequencies
    weekdays = dataset['weekday_name']
    
    # Count the frequency of each weekday
    weekday_counts = weekdays.value_counts()
    
    # Get the two most frequent weekdays
    top_two_weekdays = weekday_counts.head(2).index.tolist()
    
    return top_two_weekdays
",list of string,"['Tuesday', 'Monday']","['Tuesday', 'Monday']"
What are the top 4 hours with the most complaints?,Which are the four hours that have the highest number of complaints?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Count the number of complaints per hour
    complaint_counts_per_hour = dataset['hour'].value_counts().sort_values(ascending=False).head(4)

    # Extract the hours with the highest complaint counts
    top_hours = complaint_counts_per_hour.index.tolist()

    return top_hours
",list of (int64),"[0, 12, 10, 11]","[0, 12, 10, 11]"
