Question,Rewritten Question,Code,Answer Type,Generated Answer,Expected Answer
What's the source of wealth for the youngest billionaire?,What is the source of wealth for the billionaire with the minimum age?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
min_age_individual = dataset.loc[dataset[""age""] == dataset[""age""].min()]
source_of_wealth = min_age_individual[""source""].iloc[0]

return source_of_wealth",category,drugstores,drugstores
What is the title of the billionaire with the lowest rank?,What is the title of the billionaire who has the minimum rank?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    min_rank_individual = dataset.loc[dataset[""rank""] == dataset[""rank""].min()]
    title = min_rank_individual[""title""].iloc[0]

    return title",category,CEO,
List the top 3 countries with the most billionaires.,What are the names of the top 3 countries that have the highest number of billionaires in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    country_counts = dataset['country'].value_counts()
    top_3_countries = country_counts.nlargest(3).index.tolist()
    
    return top_3_countries",list of (string),"['United States', 'China', 'India']","['United States', 'China', 'India']"
List the top 2 most common sources of wealth for billionaires.,What are the two most frequently occurring sources of wealth among billionaires in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    source_counts = dataset['source'].value_counts()
    top_two_sources = source_counts.nlargest(2).index.tolist()
    
    return top_two_sources",list of (string),"['real estate', 'investments']","['real estate', 'investments']"
List the 4 cities where the four youngest billionaires live.,What are the names of the cities where the four billionaires with the lowest age reside?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    youngest_four = dataset.nsmallest(4, 'age')
    city_names = youngest_four['city'].tolist()
    
    return city_names",list of (string),"[nan, 'Los Angeles', 'Jiaozuo', 'Oslo']","['', 'Los Angeles', 'Jiaozuo', 'Oslo']"
List the 4 categories with the fewest billionaires.,What are the four categories that have the smallest number of billionaires based on the category column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    category_counts = dataset['category'].value_counts()
    smallest_categories = category_counts.nsmallest(4).index.tolist()
    
    return smallest_categories",list of (string),"['Gambling & Casinos', 'Sports', 'Logistics', 'Telecom']","['Telecom', 'Logistics', 'Sports', 'Gambling & Casinos']"
List the 2 countries with the least number of billionaires. If there are more than two with the same number take the first two alphabetically.,"What are the first two countries in alphabetical order that have the lowest number of billionaires, in the event of a tie in the number of billionaires?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    country_counts = dataset['country'].value_counts()
    min_count = country_counts.min()
    countries_with_min_count = country_counts[country_counts == min_count].index.tolist()
    countries_with_min_count.sort()
    return countries_with_min_count[:2]",list of (string),"['Algeria', 'Andorra']","['Algeria', 'Andorra']"
List the top 5 ranks of billionaires who are not self-made.,What are the ranks of the top 5 billionaires who have the selfMade attribute set to False?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    not_self_made_individuals = dataset[dataset[""selfMade""] == False]
    top_5_billionaires = not_self_made_individuals.nlargest(5, ""finalWorth"")
    ranks = top_5_billionaires[""rank""].tolist()
    
    return ranks",list of (uint16),"[3, 10, 14, 16, 18]","[3, 10, 14, 16, 18]"
List the youngest 3 ages of billionaires who have a philanthropy score of 5.,What are the three smallest age values of billionaires with a philanthropy score of exactly 5 in the Forbes dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    billionaires_with_philanthropy_score_5 = dataset[dataset[""philanthropyScore""] == 5]
    smallest_three_ages = billionaires_with_philanthropy_score_5[""age""].nsmallest(3).tolist()
    
    return smallest_three_ages",list of (float64),"[48.0, 83.0, 83.0]","[48.0, 83.0, 83.0]"
List the highest 6 final worth values of billionaires in the 'Technology' category.,What are the top 6 highest final worth values of billionaires who are categorized as 'Technology' in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    technology_billionaires = dataset[dataset['category'] == 'Technology']
    top_6_highest_worth = technology_billionaires.nlargest(6, 'finalWorth')['finalWorth'].tolist()
    
    return top_6_highest_worth",list of (uint32),"[171000, 129000, 111000, 107000, 106000, 91400]","[171000, 129000, 111000, 107000, 106000, 91400]"
List the top 4 ranks of female billionaires.,What are the ranks of the top 4 female billionaires in the Forbes list?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_female_billionaires = dataset[dataset['gender'] == 'Female'].sort_values(by='finalWorth', ascending=False).head(4)
    ranks = top_female_billionaires['rank'].tolist()
    
    return ranks",list of (int64),[],"[14, 18, 21, 30]"
List the top 2 final worth values of billionaires in the 'Automotive' category.,What are the two highest final worth values of billionaires who are categorized as 'Automotive'?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    automotive_billionaires = dataset[dataset['category'] == 'Automotive']
    top_two_worth = automotive_billionaires['finalWorth'].nlargest(2).tolist()
    
    return top_two_worth",list of (uint32),"[219000, 44800]","[219000, 44800]"
Did any children below the age of 18 survive?,Were there any passengers under the age of 18 for whom the survived attribute is True?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    minors = dataset[dataset[""Age""] < 18]
    survived_minors = minors[minors[""Survived""] == True]
    
    return not survived_minors.empty",bool,True,True
Were there any passengers who paid a fare of more than $500?,Does the dataset contain any passengers with a fare greater than 500?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    passengers_with_high_fare = dataset[dataset[""Fare""] > 500]
    return not passengers_with_high_fare.empty",bool,True,True
Is every passenger's name unique?,Does the count of unique names in the Name column equal the total number of rows in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    unique_names_count = dataset[""Name""].nunique()
    total_rows_count = dataset.shape[0]
    is_equal = unique_names_count == total_rows_count

    return is_equal",bool,True,True
Were there any female passengers in the 3rd class who survived?,"Does the dataset contain any records where the sex is female, the passenger class is 3 and the survived attribute is True?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    female_passengers = dataset[(dataset[""Sex""] == ""female"") & (dataset[""Pclass""] == 3) & (dataset[""Survived""] == True)]
    return not female_passengers.empty",bool,True,True
How many unique passenger classes are present in the dataset?,What is the number of distinct values in the Pclass column of the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    distinct_pclass_values = dataset[""Pclass""].nunique()
    return distinct_pclass_values",int64,3,3
What's the maximum age of the passengers?,What is the highest age value among all the passengers?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_age = dataset[""Age""].max()
    return max_age",float64,80.0,80.0
How many passengers boarded without any siblings or spouses?,What is the number of passengers who have zero siblings or spouses aboard?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    zero_siblings_spouses = dataset[dataset[""Siblings_Spouses Aboard""] == 0]
    num_passengers = len(zero_siblings_spouses)

    return num_passengers",int64,604,604
"On average, how much fare did the passengers pay?",What is the mean fare paid by all the passengers?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    mean_fare = dataset[""Fare""].mean()
    return mean_fare",float64,32.30542000000000,32.31
Which passenger class has the highest number of survivors?,What is the passenger class with the maximum count of survivors?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    survivors = dataset[dataset[""Survived""] == True]
    max_survivor_class = survivors[""Pclass""].value_counts().idxmax()
    
    return max_survivor_class",int64,1,1
What's the most common gender among the survivors?,Which gender appears most frequently among the passengers where the survived attribute is True?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
survived_passengers = dataset[dataset[""Survived""] == True]
most_frequent_gender = survived_passengers[""Sex""].mode().iloc[0]

return most_frequent_gender",string,female,female
"Among those who survived, which fare range was the most common: (0-50, 50-100, 100-150, 150+)?","What is the most common fare range among survivors, categorized as 0-50, 50-100, 100-150, or 150 and above?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    survivors = dataset[dataset[""Survived""] == True]
    fare_ranges = pd.cut(survivors[""Fare""], bins=[0, 50, 100, 150, float(""inf"")], labels=[""0-50"", ""50-100"", ""100-150"", ""150 and above""])
    most_common_fare_range = fare_ranges.value_counts().index[0]
    
    return most_common_fare_range",string,0.0-50,0.0-50
"What's the most common age range among passengers: (0-18, 18-30, 30-50, 50+)?","Which age group, either 0-18, 18-30, 30-50, or 50 and above, is most frequently occurring among the passengers based on their age?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    bins = [0, 18, 30, 50, float('inf')]
    labels = ['0-18', '18-30', '30-50', '50 and above']
    dataset['Age Group'] = pd.cut(dataset['Age'], bins=bins, labels=labels, right=False)
    most_frequent_age_group = dataset['Age Group'].mode().values[0]
    
    return most_frequent_age_group",string,18.0-30,18.0-30
Name the top 3 passenger classes by survival rate.,What are the top three passenger classes with the highest survival rates based on the Pclass column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    survival_rates = dataset.groupby(""Pclass"")[""Survived""].mean().reset_index()
    survival_rates = survival_rates.sort_values(by=""Survived"", ascending=False)
    top_three_classes = survival_rates.head(3)
    top_three_classes = top_three_classes[""Pclass""].astype(str).tolist()
    
    return top_three_classes",list of (string),"['1', '2', '3']","[1, 2, 3]"
"Could you list the 3 fare ranges present in the dataset with the least survivors: (0-50, 50-100, 100-150, 150+)?","What are the three fare categories with the lowest number of survivors, given the categories are 0-50, 50-100, 100-150, and 150 or more?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    bins = [0, 50, 100, 150, float('inf')]
    labels = ['0-50', '50-100', '100-150', '150 or more']
    dataset['Fare Category'] = pd.cut(dataset['Fare'], bins=bins, labels=labels)
    fare_categories = dataset.groupby('Fare Category')['Survived'].sum().reset_index()
    fare_categories = fare_categories.sort_values(by='Survived').head(3)
    lowest_fare_categories = fare_categories['Fare Category'].tolist()
    return lowest_fare_categories",list of (string),"['100-150', '150 or more', '50-100']","['50-100', '150+', '100-150']"
"What are the top 4 age ranges ('30-50', '18-30', '0-18', '50+') with the highest number of survivors?","List the top 4 age groups with the most survivors from the given age categories '30-50', '18-30', '0-18', '50+'?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    age_groups = ['30-50', '18-30', '0-18', '50+']
    dataset = dataset[dataset['Age Group'].isin(age_groups)]
    survivors = dataset[dataset['Survived'] == True]
    age_group_counts = survivors['Age Group'].value_counts()
    top_4_age_groups = age_group_counts.nlargest(4).index.tolist()
    
    return top_4_age_groups",list of (string),"['30-50', '18-30', '0-18', '50 and above']","['30-50', '18-30', '0-18', '50+']"
What are the top 2 genders by average fare paid?,Which two genders have the highest average fare paid when ranked in descending order by average fare?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    average_fare_by_gender = dataset.groupby(""Sex"")[""Fare""].mean().reset_index()
    average_fare_by_gender = average_fare_by_gender.sort_values(by=""Fare"", ascending=False)
    top_two_genders = average_fare_by_gender.head(2)[""Sex""].tolist()
    
    return top_two_genders",list of (string),"['female', 'male']","['female', 'male']"
What are the oldest 3 ages among the survivors?,What are the top 3 highest ages of the passengers who survived the Titanic?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    survived_passengers = dataset[dataset[""Survived""] == True]
    top_3_highest_ages = survived_passengers[""Age""].sort_values(ascending=False).head(3).tolist()
    
    return top_3_highest_ages",list of (float64),"[80.0, 63.0, 63.0]","[80, 63, 63]"
Which are the top 4 fares paid by survivors?,What are the four highest fares paid by passengers who survived the Titanic?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
survived_passengers = dataset[dataset[""Survived""] == True]
survived_passengers_fares = survived_passengers[""Fare""]
highest_fares = survived_passengers_fares.nlargest(4).tolist()

return highest_fares",list of (float64),"[512.3292, 512.3292, 512.3292, 263.0]","[512.329, 512.329, 512.329, 263]"
Could you list the youngest 3 ages among the survivors?,What are the three smallest age values among the passengers where the survived attribute is True?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    survived_passengers = dataset[dataset[""Survived""] == True]
    smallest_ages = survived_passengers[""Age""].nsmallest(3).tolist()
    
    return smallest_ages",list of (float64),"[1.0, 1.0, 1.0]","[1, 1, 1]"
Which are the lowest 4 fares among those who didn't survive?,What are the four smallest fare values for passengers where the survived attribute is False?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    not_survived_passengers = dataset[dataset[""Survived""] == False]
    smallest_fare_values = not_survived_passengers[""Fare""].nsmallest(4).tolist()
    
    return smallest_fare_values",list of (float64),"[0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0]"
Is the average age of the respondents above 30?,Is the mean value of the age of respondents greater than 30?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    mean_age = dataset[""What is your age? 👶🏻👵🏻""].mean()
    return mean_age > 30",bool,True,True
Are there more single individuals than married ones in the dataset?,Does the count of individuals with civil status as single exceed the count of individuals with civil status as married in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
single_count = len(dataset[dataset[""What is your civil status? 💍""] == ""Single""])
married_count = len(dataset[dataset[""What is your civil status? 💍""] == ""Married""])
return single_count > married_count",bool,True,True
Do the majority of respondents have a height greater than 170 cm?,Is it true that more than half of the respondents have a height greater than 170 cm?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
tall_respondents = dataset[dataset[""What's your height? in cm 📏""] > 170].shape[0]
total_respondents = dataset.shape[0]
more_than_half_tall = tall_respondents > total_respondents / 2

return more_than_half_tall",bool,True,True
Is the most frequent hair color black?,Is black the most common hair color in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
hair_color_counts = dataset[""What is your hair color? 👩🦰👱🏽""].value_counts()
is_black_most_common = hair_color_counts.index[0] == 'black'

return is_black_most_common",bool,False,False
How many unique nationalities are present in the dataset?,What is the number of distinct nationalities present in the What's your nationality column of the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    distinct_nationalities = dataset[""What's your nationality?""].nunique()
    return distinct_nationalities",int64,13,13
What is the average gross annual salary?,What is the mean value of the gross annual salary in euros?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    mean_gross_annual_salary = dataset[""Gross annual salary (in euros) 💸""].mean()
    return mean_gross_annual_salary",float64,56332.81720400000,56332.81720400000
How many respondents wear glasses all the time?,,,,ERROR,98
What's the median age of the respondents?,What is the middle value of the ages of the respondents when they are arranged in ascending order?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
ages = dataset[""What is your age? 👶🏻👵🏻""].sort_values().tolist()
middle_index = len(ages) // 2
if len(ages) % 2 == 0:
middle_value = (ages[middle_index - 1] + ages[middle_index]) / 2
else:
middle_value = ages[middle_index]
return middle_value",float64,33,33.0
What is the most common level of studies achieved?,What is the mode of the maximum level of studies achieved by the respondents?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    mode_max_level_studies = dataset[""What is the maximum level of studies you have achieved? 🎓""].mode().iloc[0]
    return mode_max_level_studies",string,Master,Master
Which body complexity has the least number of respondents?,Which category of body complexity has the minimum count of respondents in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
body_complexity_counts = dataset[""What is your body complexity? 🏋️""].value_counts()
min_count_body_complexity = body_complexity_counts.idxmin()

return min_count_body_complexity",string,Very thin,Very thin
What's the most frequent eye color?,Which eye color appears most frequently in the dataset,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
most_frequent_eye_color = dataset[""What is your eye color? 👁️""].mode().iloc[0]
return most_frequent_eye_color",string,Brown,Brown
Which sexual orientation has the highest representation?,What is the most common sexual orientation in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
most_common_sexual_orientation = dataset[""What's your sexual orientation?""].mode().values[0]
return most_common_sexual_orientation",string,Heterosexual,Heterosexual
List the top 3 most common areas of knowledge.,,,,ERROR,"['Computer Science', 'Business', 'Enginering & Architecture']"
List the bottom 3 hair lengths in terms of frequency.,What are the three least frequent hair lengths in the How long is your hair category?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    hair_length_counts = dataset['How long is your hair? 💇🏻♀️💇🏽♂️'].value_counts()
    least_frequent_hair_lengths = hair_length_counts.nsmallest(3).index.tolist()
    return least_frequent_hair_lengths",list of (string),"['Bald', 'Long', 'Medium']","['Medium', 'Long', 'Bald']"
Name the top 5 civil statuses represented in the dataset.,"What are the top 5 most frequent civil statuses in the dataset, ordered by their frequency of occurrence?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    civil_status_counts = dataset[""What is your civil status? 💍""].value_counts()
    top_5_civil_statuses = civil_status_counts.nlargest(5).index.tolist()
    
    return top_5_civil_statuses",list of (string),"['Single', 'Married', 'In a Relationship', 'In a Relationship Cohabiting', 'Divorced']","['Single', 'Married', 'In a Relationship', 'In a Relationship Cohabiting', 'Divorced']"
What are the 4 least common hair colors?,What are the four least frequently occurring hair colors in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
hair_color_counts = dataset[""What is your hair color? 👩🦰👱🏽""].value_counts()
least_frequent_hair_colors = hair_color_counts.nsmallest(4).index.tolist()
return least_frequent_hair_colors",list of (string),"['Blue', 'White', 'Other', 'Red']","['Red', 'Other', 'White', 'Blue']"
What are the top 4 maximum gross annual salaries?,What are the four highest values in the Gross annual salary column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
salary_values = dataset[""Gross annual salary (in euros) 💸""].sort_values(ascending=False).head(4).tolist()
return salary_values",list of (float64),"[500000.0, 360000.0, 300000.0, 300000.0]","[500000.0, 360000.0, 300000.0, 300000.0]"
Name the 3 happiness values for the 3 unhappiest people in the happiness scale.,What are the three lowest happiness scale values in the dataset,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
happiness_scale_values = dataset[""Happiness scale""].sort_values(ascending=True).head(3).tolist()
return happiness_scale_values",list of (uint8),"[2, 2, 2]","[2, 2, 2]"
What are the 5 highest ages present in the dataset?,What are the top 5 highest values in the 'What is your age?' column in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_5_ages = dataset['What is your age? 👶🏻👵🏻'].nlargest(5).tolist()
    return top_5_ages",list of (int64),"[65, 62, 60, 60, 59]","[65, 62, 60, 60, 59]"
List the bottom 6 skin tone values based on frequency.,"What are the six least frequent skin tone values in the dataset, ordered from least frequent to sixth least frequent?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
skin_tone_counts = dataset[""What is your skin tone?""].value_counts()
least_frequent_six = skin_tone_counts.nsmallest(6).index.tolist()
return least_frequent_six",list of (uint8),"[8, 7, 0, 6, 1, 2]","[2, 1, 6, 0, 7, 8]"
Are there any trips with a total distance greater than 30 miles?,Does the dataset contain any trips where the trip_distance is greater than 30 miles?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    return (dataset['trip_distance'] > 30).any()",bool,False,False
Were there any trips that cost more than $100 in total?,Does the total amount of any trip exceed 100 dollars?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    total_amount_exceeds_100 = dataset[""total_amount""].max() > 100
    return total_amount_exceeds_100",bool,False,False
Is there any trip with more than 6 passengers?,Does any trip have a passenger count greater than 6?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    has_passenger_count_greater_than_6 = (dataset[""passenger_count""] > 6).any()
    return has_passenger_count_greater_than_6",bool,False,False
Did all the trips use a payment type of either 1 or 2?,Is the payment type for every trip either 1 or 2?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    payment_types = dataset[""payment_type""].unique()
    is_valid_payment_type = all((payment_type == 1 or payment_type == 2) for payment_type in payment_types)

    return is_valid_payment_type",bool,False,False
What is the maximum fare amount charged for a trip?,What is the highest fare amount charged for any trip in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_fare_amount = dataset[""fare_amount""].max()
    return max_fare_amount",float64,75.25,75.25
How many unique pickup locations are in the dataset?,What is the number of distinct PULocationID values in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    distinct_pulocationid_count = dataset[""PULocationID""].nunique()
    return distinct_pulocationid_count",int64,96,96
What is the average tip amount given by passengers?,What is the mean of the tip_amount given by all the passengers in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    mean_tip_amount = dataset[""tip_amount""].mean()
    return mean_tip_amount",float64,2.7366810000000000,2.74
How many trips took place in the airport area?,What is the total number of trips that occurred in the airport area?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    airport_trips = dataset[(dataset[""store_and_fwd_flag""] == ""Y"") | (dataset[""airport_fee""] == ""Y"")]
    total_airport_trips = len(airport_trips)

    return total_airport_trips",int64,889,99807
Which payment type is the most common in the dataset?,What is the payment type that appears most frequently in the payment_type column of the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    most_frequent_payment_type = dataset[""payment_type""].mode().iloc[0]
    return most_frequent_payment_type",uint8,1,1
Which vendor has the most trips recorded?,What is the VendorID with the highest number of trips recorded in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    vendor_id_counts = dataset[""VendorID""].value_counts()
    max_trips_vendor_id = vendor_id_counts.idxmax()

    return max_trips_vendor_id",uint8,2,2
What is the most common drop-off location?,Which DOLocationID appears most frequently in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    most_frequent_dolocationid = dataset['DOLocationID'].mode().values[0]
    return str(most_frequent_dolocationid)",string,236,236
On which date did the first recorded trip occur?,What is the earliest tpep_pickup_datetime in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
earliest_pickup = dataset[""tpep_pickup_datetime""].min()
earliest_pickup_str = str(earliest_pickup)

return earliest_pickup_str",string,31-01-2023 23:52,31-01-2023
Which are the top 2 most frequent pickup locations?,What are the two most frequently occurring PULocationID values in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    pulocation_counts = dataset[""PULocationID""].value_counts()
    most_frequent_pulocations = pulocation_counts.nlargest(2).index.tolist()
    
    return most_frequent_pulocations",list of (uint16),"[161, 237]","[161, 237]"
Name the 4 most common rate codes used.,What are the top 4 most frequently occurring RatecodeID values in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    ratecode_counts = dataset[""RatecodeID""].value_counts()
    top_4_ratecodes = ratecode_counts.nlargest(4).index.tolist()
    
    return top_4_ratecodes",list of (uint8),"[1, 2, 5, 4]","[1, 2, 5, 4]"
list the 2 most frequent store and forward flags.,What are the two most common store and forward flags used in the taxi trips?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    store_and_fwd_flag_counts = dataset[""store_and_fwd_flag""].value_counts()
    two_most_common_flags = store_and_fwd_flag_counts.nlargest(2).index.tolist()
    
    return two_most_common_flags",list of (string),"['N', 'Y']","['N', 'Y']"
Identify the top 4 payment types used by frequency,"What are the top 4 most frequently occurring payment types in the dataset, based on the payment_type column?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
payment_type_counts = dataset[""payment_type""].value_counts()
top_4_payment_types = payment_type_counts.nlargest(4).index.tolist()

return top_4_payment_types",list of (uint8),"[1, 2, 4, 3]","[1, 2, 4, 3]"
Report the 4 highest toll amounts paid.,What are the top 4 highest toll amounts paid for taxi rides?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_4_tolls = dataset['tolls_amount'].nlargest(4).tolist()
    return top_4_tolls",list of (float64),"[0, 0, 0, 0]","[0, 0, 0, 0]"
list the top 3 longest trip distances,What are the top three largest trip_distance values in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_three_largest_trip_distance = dataset['trip_distance'].nlargest(3).tolist()
    return top_three_largest_trip_distance",list of (float64),"[19.83, 19.74, 19.68]","[19.83, 19.74, 19.68]"
