Question,Rewritten Question,Code,Answer Type,Generated Answer,Expected Answer
Which category does the richest billionaire belong to?,What is the category of the billionaire with the highest final worth?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_worth_individual = dataset.loc[dataset[""finalWorth""] == dataset[""finalWorth""].max()]
    category = max_worth_individual[""category""].iloc[0]
    
    return category",category,Automotive,Automotive
What's the country of origin of the oldest billionaire?,From which country does the billionaire with the highest age come from?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_age_individual = dataset.loc[dataset[""age""] == dataset[""age""].max()]
    country = max_age_individual[""country""].iloc[0]
    
    return country",string,United States,United States
What's the gender of the billionaire with the highest philanthropy score?,What is the gender value of the individual who has the maximum philanthropy score in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_philanthropy_individual = dataset.loc[dataset[""philanthropyScore""] == dataset[""philanthropyScore""].max()]
    gender_value = max_philanthropy_individual[""gender""].iloc[0]
    
    return gender_value
",string,M,M
What's the source of wealth for the youngest billionaire?,What is the source of wealth for the billionaire with the minimum age?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    min_age_individual = dataset.loc[dataset[""age""] == dataset[""age""].min()]
    source_of_wealth = min_age_individual[""source""].iloc[0]
    
    return source_of_wealth",string,drugstores,drugstores
What is the title of the billionaire with the lowest rank?,What is the title of the individual who has the smallest rank value?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    min_rank_individual = dataset.loc[dataset[""rank""] == dataset[""rank""].min()]
    title = min_rank_individual[""title""].iloc[0]
    
    return title
",string,CEO,
List the top 3 countries with the most billionaires.,What are the names of the top 3 countries with the highest number of billionaires?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    country_counts = dataset['country'].value_counts().head(3)
    top_countries = country_counts.index.tolist()
    return top_countries",list of string,"['United States', 'China', 'India']","['United States', 'China', 'India']"
List the top 2 most common sources of wealth for billionaires.,What are the two most frequently occurring values in the source column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    source_counts = dataset['source'].value_counts()
    top_two_sources = source_counts.head(2).index.tolist()
    return top_two_sources",list of string,"['real estate', 'investments']","['real estate', 'investments']"
List the 4 cities where the four youngest billionaires live.,What are the names of the 4 cities where the billionaires with the lowest age values reside?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    sorted_by_age = dataset.sort_values(by='age', ascending=True)
    youngest_billionaires = sorted_by_age.head(4)
    cities = youngest_billionaires['city'].tolist()
    
    return cities
",list of string,"[nan, 'Oslo', 'Jiaozuo', 'Los Angeles']","['', 'Los Angeles', 'Jiaozuo', 'Oslo']"
List the 4 categories with the fewest billionaires.,What are the 4 least common categories among the billionaires in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    category_counts = dataset['category'].value_counts().nsmallest(4)
    least_common_categories = category_counts.index.tolist()
    
    return least_common_categories
",list of string,"['Gambling & Casinos', 'Sports', 'Logistics', 'Telecom']","['Telecom', 'Logistics', 'Sports', 'Gambling & Casinos']"
List the 2 countries with the least number of billionaires. If there are more than two with the same number take the first two alphabetically.,"Return the names of the two countries that have the smallest count of billionaires, selecting the first two alphabetically in case of ties.","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    country_counts = dataset['country'].value_counts().sort_values()
    min_count = country_counts.min()
    smallest_countries = country_counts[country_counts == min_count].index.sort_values()[:2].tolist()
    return smallest_countries",list of string,"['Colombia', 'Eswatini (Swaziland)']","['Algeria', 'Andorra']"
List the top 5 ranks of billionaires who are not self-made.,What are the ranks of the top 5 billionaires where selfMade is False?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    non_self_made = dataset[dataset[""selfMade""] == False]
    top_5_non_self_made = non_self_made.sort_values(by=""rank"").head(5)
    ranks = top_5_non_self_made[""rank""].tolist()
    
    return ranks
",list of (uint16),"[3, 10, 14, 16, 18]","[3, 10, 14, 16, 18]"
List the youngest 3 ages of billionaires who have a philanthropy score of 5.,What are the three smallest ages of billionaires with a philanthropy score equal to 5?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    philanthropists = dataset[dataset['philanthropyScore'] == 5]
    sorted_ages = philanthropists['age'].sort_values().head(3)
    smallest_ages = sorted_ages.tolist()
    
    return smallest_ages
",list of float64,"[48.0, 83.0, 83.0]","[48.0, 83.0, 83.0]"
List the highest 6 final worth values of billionaires in the 'Technology' category.,What are the top 6 final worth values for billionaires whose category is 'Technology'?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    tech_billionaires = dataset[dataset['category'] == 'Technology']
    top_6_values = tech_billionaires.nlargest(6, 'finalWorth')['finalWorth'].tolist()
    return top_6_values
",list of int64,"[171000, 129000, 111000, 107000, 106000, 91400]","[171000, 129000, 111000, 107000, 106000, 91400]"
List the top 4 ranks of female billionaires.,What are the rank values of the top 4 female billionaires in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    female_billionaires = dataset[dataset[""gender""] == ""female""]
    top_4_female = female_billionaires.nsmallest(4, ""rank"")
    ranks = top_4_female[""rank""].tolist()
    
    return ranks",list of int64,[],"[14, 18, 21, 30]"
List the top 2 final worth values of billionaires in the 'Automotive' category.,What are the two highest final worth values among billionaires categorized under 'Automotive'?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    automotive_billionaires = dataset[dataset['category'] == 'Automotive']
    top_two_worth = automotive_billionaires.nlargest(2, 'finalWorth')['finalWorth'].tolist()
    return top_two_worth",list of (uint32),"[219000, 44800]","[219000, 44800]"
Did any children below the age of 18 survive?,Were there any survivors with age less than 18?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    young_survivors = dataset[(dataset['Age'] < 18) & (dataset['Survived'] == True)]
    has_young_survivors = not young_survivors.empty
    
    return has_young_survivors",bool,True,True
Were there any passengers who paid a fare of more than $500?,Are there any passengers with a fare value greater than 500?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    has_high_fare = (dataset[""Fare""] > 500).any()
    return has_high_fare",bool,True,True
Is every passenger's name unique?,Are all passenger names in the dataset distinct with no duplicates?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    unique_names = dataset['Name'].nunique()
    total_passengers = len(dataset)
    all_names_distinct = unique_names == total_passengers
    
    return all_names_distinct
",bool,True,True
Were there any female passengers in the 3rd class who survived?,Did any female passengers in Pclass 3 have Survived set to True?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    female_pclass3 = dataset[(dataset['Sex'] == 'female') & (dataset['Pclass'] == 3)]
    any_survived = female_pclass3['Survived'].any()
    
    return any_survived",bool,True,True
How many unique passenger classes are present in the dataset?,What is the count of distinct passenger classes in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    distinct_pclass_count = dataset[""Pclass""].nunique()
    return distinct_pclass_count
",int64,3,3
What's the maximum age of the passengers?,What is the highest age value among all passengers in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_age = dataset[""Age""].max()
    return max_age",float64,80.0,80.0
How many passengers boarded without any siblings or spouses?,What is the count of passengers who had zero siblings or spouses aboard?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    count = len(dataset[dataset[""Siblings_Spouses Aboard""] == 0])
    return count
",int64,604,604
"On average, how much fare did the passengers pay?",What is the average fare paid by the passengers?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    average_fare = dataset[""Fare""].mean()
    return average_fare",float64,32.30542000000000,32.31
Which passenger class has the highest number of survivors?,What is the passenger class (Pclass) with the maximum count of survivors (Survived = True)?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    survivors = dataset[dataset['Survived'] == True]
    class_counts = survivors['Pclass'].value_counts()
    max_class = class_counts.idxmax()
    
    return max_class
",int64,1,1
What's the most common gender among the survivors?,Which gender value appears most frequently among the survivors in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    survivors = dataset[dataset[""Survived""] == True]
    gender_counts = survivors[""Sex""].value_counts()
    most_frequent_gender = gender_counts.idxmax()
    
    return most_frequent_gender",string,female,female
"Among those who survived, which fare range was the most common: (0-50, 50-100, 100-150, 150+)?","What is the most frequent fare range (0-50, 50-100, 100-150, 150+) among the survivors?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    survivors = dataset[dataset['Survived'] == True]
    fare_bins = [0, 50, 100, 150, float('inf')]
    fare_labels = ['0-50', '50-100', '100-150', '150+']
    survivors['fare_range'] = pd.cut(survivors['Fare'], bins=fare_bins, labels=fare_labels)
    most_frequent_range = survivors['fare_range'].value_counts().idxmax()
    
    return most_frequent_range",string,0.0-50,0.0-50
"What's the most common age range among passengers: (0-18, 18-30, 30-50, 50+)?","Which age range (0-18, 18-30, 30-50, 50+) has the highest number of passengers?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    bins = [0, 18, 30, 50, float('inf')]
    labels = ['0-18', '18-30', '30-50', '50+']
    dataset['age_range'] = pd.cut(dataset['Age'], bins=bins, labels=labels, right=False)
    age_counts = dataset['age_range'].value_counts()
    max_age_range = age_counts.idxmax()
    
    return max_age_range",string,18.0-30,18.0-30
Name the top 3 passenger classes by survival rate.,What are the top 3 passenger classes when ordered by survival rate?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    survival_rates = dataset.groupby('Pclass')['Survived'].mean().sort_values(ascending=False)
    top_classes = survival_rates.head(3).index.tolist()
    top_classes_str = [str(cls) for cls in top_classes]
    
    return top_classes_str",list of string,"['1', '2', '3']","[1, 2, 3]"
"Could you list the 3 fare ranges present in the dataset with the least survivors: (0-50, 50-100, 100-150, 150+)?","What are the 3 fare ranges (0-50, 50-100, 100-150, 150+) that have the lowest number of survivors?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    # Create fare ranges
    bins = [0, 50, 100, 150, float('inf')]
    labels = ['0-50', '50-100', '100-150', '150+']
    dataset['fare_range'] = pd.cut(dataset['Fare'], bins=bins, labels=labels, right=False)
    
    # Filter survivors and count by fare range
    survivors = dataset[dataset['Survived'] == True]
    fare_counts = survivors['fare_range'].value_counts().sort_values()
    
    # Get the 3 fare ranges with lowest survivor counts
    lowest_fare_ranges = fare_counts.head(3).index.tolist()
    
    return lowest_fare_ranges",list of (string),"['100-150', '150+', '50-100']","['50-100', '150+', '100-150']"
"What are the top 4 age ranges ('30-50', '18-30', '0-18', '50+') with the highest number of survivors?","Which 4 age ranges ('30-50', '18-30', '0-18', '50+') have the highest count of survivors?","def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    survivors = dataset[dataset['Survived'] == True]
    age_range_counts = survivors['age_range'].value_counts()
    top_4_age_ranges = age_range_counts.nlargest(4).index.tolist()
    
    return top_4_age_ranges
",list of string,"['30-50', '18-30', '0-18', '50+']","['30-50', '18-30', '0-18', '50+']"
What are the top 2 genders by average fare paid?,Which two genders have the highest average fare values?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    avg_fare_by_gender = dataset.groupby('Sex')['Fare'].mean().sort_values(ascending=False)
    top_two_genders = avg_fare_by_gender.head(2).index.tolist()
    
    return top_two_genders",list of string,"['female', 'male']","['female', 'male']"
What are the oldest 3 ages among the survivors?,Return the top 3 highest ages from the passengers who survived.,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    survived_passengers = dataset[dataset[""Survived""] == True]
    top_ages = survived_passengers[""Age""].nlargest(3).tolist()
    return top_ages
",list of (float64),"[80.0, 63.0, 63.0]","[80, 63, 63]"
Which are the top 4 fares paid by survivors?,What are the four highest fare amounts paid by passengers who survived?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    survived_passengers = dataset[dataset[""Survived""] == True]
    top_fares = survived_passengers.nlargest(4, ""Fare"")[""Fare""].tolist()
    return top_fares",list of float64,"[512.3292, 512.3292, 512.3292, 263.0]","[512.329, 512.329, 512.329, 263]"
Could you list the youngest 3 ages among the survivors?,What are the three smallest ages present in the data for individuals who survived?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    survivors = dataset[dataset[""Survived""] == True]
    smallest_ages = survivors[""Age""].nsmallest(3).tolist()
    return smallest_ages
",list of (float64),"[1.0, 1.0, 1.0]","[1, 1, 1]"
Which are the lowest 4 fares among those who didn't survive?,What are the four smallest fare values for passengers who did not survive?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    non_survivors = dataset[dataset[""Survived""] == False]
    sorted_fares = non_survivors[""Fare""].sort_values().head(4)
    smallest_fares = sorted_fares.tolist()
    
    return smallest_fares
",list of (float64),"[0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0]"
Is the average age of the respondents above 30?,Is the mean value of the age column greater than 30?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    mean_age = dataset[""What is your age? 👶🏻👵🏻""].mean()
    is_greater_than_30 = mean_age > 30
    return is_greater_than_30
",bool,True,True
Are there more single individuals than married ones in the dataset?,Is the count of individuals with civil status 'single' greater than those with civil status 'married' in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    single_count = dataset[dataset[""What is your civil status? 💍""] == ""single""].shape[0]
    married_count = dataset[dataset[""What is your civil status? 💍""] == ""married""].shape[0]
    is_single_greater = single_count > married_count
    return is_single_greater
",bool,False,True
Do the majority of respondents have a height greater than 170 cm?,Is the count of respondents with height greater than 170 cm more than half of the total respondents?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    total_respondents = len(dataset)
    tall_respondents = len(dataset[dataset[""What's your height? in cm 📏""] > 170])
    is_more_than_half = tall_respondents > (total_respondents / 2)
    
    return is_more_than_half
",bool,True,True
Is the most frequent hair color black?,Is the mode of the hair color column equal to black?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    hair_color_mode = dataset[""What is your hair color? 👩🦰👱🏽""].mode()[0]
    is_black = (hair_color_mode == ""black"")
    
    return is_black
",bool,False,False
How many unique nationalities are present in the dataset?,What is the count of distinct nationalities in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    distinct_nationalities_count = dataset[""What's your nationality?""].nunique()
    return distinct_nationalities_count
",int64,13,13
What is the average gross annual salary?,Calculate the mean value of the gross annual salary in euros.,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    mean_salary = dataset[""Gross annual salary (in euros) 💸""].mean()
    return mean_salary",float64,56332.81720400000,56332.81720400000
How many respondents wear glasses all the time?,What is the count of respondents who wear glasses all the time according to the 'How often do you wear glasses?' column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    glasses_count = dataset[dataset[""How often do you wear glasses? 👓""] == ""All the time""].shape[0]
    return glasses_count
",int64,0,98
What's the median age of the respondents?,What is the median value of the age column in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    median_age = dataset[""What is your age? 👶🏻👵🏻""].median()
    return median_age
",float64,33.0,33.0
What is the most common level of studies achieved?,What is the mode value of the maximum level of studies achieved among the respondents?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    mode_studies = dataset[""What is the maximum level of studies you have achieved? 🎓""].mode()[0]
    return mode_studies
",string,Master,Master
Which body complexity has the least number of respondents?,Which body complexity category has the smallest count of respondents?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    body_complexity_counts = dataset[""What is your body complexity? 🏋️""].value_counts()
    smallest_category = body_complexity_counts.idxmin()
    
    return smallest_category",string,Very thin,Very thin
What's the most frequent eye color?,Which eye color appears most frequently in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    eye_color_counts = dataset[""What is your eye color? 👁️""].value_counts()
    most_frequent_eye_color = eye_color_counts.idxmax()
    
    return most_frequent_eye_color",string,Brown,Brown
Which sexual orientation has the highest representation?,What is the most frequently occurring sexual orientation in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    most_frequent_orientation = dataset[""What's your sexual orientation?""].mode()[0]
    return most_frequent_orientation
",string,Heterosexual,Heterosexual
List the top 3 most common areas of knowledge.,What are the three most frequently occurring values in the 'What area of knowledge is closer to you?' column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_areas = dataset['What area of knowledge is closer to you?'].value_counts().head(3).index.tolist()
    return top_areas
",list of string,"[array(['Computer Science'], dtype=object), array(['Business'], dtype=object), array(['Enginering & Architecture'], dtype=object)]","['Computer Science', 'Business', 'Enginering & Architecture']"
List the bottom 3 hair lengths in terms of frequency.,What are the three least common hair length categories in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    hair_length_counts = dataset[""How long is your hair? 💇🏻♀️💇🏽♂️""].value_counts()
    least_common_hair_lengths = hair_length_counts.nsmallest(3).index.tolist()
    return least_common_hair_lengths
",list of (string),"['Bald', 'Long', 'Medium']","['Medium', 'Long', 'Bald']"
Name the top 5 civil statuses represented in the dataset.,What are the 5 most common civil status categories in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    civil_status_counts = dataset[""What is your civil status? 💍""].value_counts()
    top_5_civil_status = civil_status_counts.head(5).index.tolist()
    return top_5_civil_status",list of string,"['Single', 'Married', 'In a Relationship', 'In a Relationship Cohabiting', 'Divorced']","['Single', 'Married', 'In a Relationship', 'In a Relationship Cohabiting', 'Divorced']"
What are the 4 least common hair colors?,Retrieve the four hair colors that appear least frequently in the dataset.,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    hair_color_counts = dataset[""What is your hair color? 👩🦰👱🏽""].value_counts()
    least_common_hair_colors = hair_color_counts.nsmallest(4).index.tolist()
    return least_common_hair_colors",list of (string),"['Blue', 'White', 'Other', 'Red']","['Red', 'Other', 'White', 'Blue']"
What are the top 4 maximum gross annual salaries?,Retrieve the four highest values from the Gross annual salary column.,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_salaries = dataset[""Gross annual salary (in euros) 💸""].nlargest(4).tolist()
    return top_salaries
",list of float64,"[500000.0, 360000.0, 300000.0, 300000.0]","[500000.0, 360000.0, 300000.0, 300000.0]"
Name the 3 happiness values for the 3 unhappiest people in the happiness scale.,What are the happiness scale values for the three individuals with the lowest happiness scores?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    sorted_data = dataset.sort_values(by=""Happiness scale"")
    lowest_happiness = sorted_data[""Happiness scale""].head(3).tolist()
    return lowest_happiness
",list of (uint8),"[2, 2, 2]","[2, 2, 2]"
What are the 5 highest ages present in the dataset?,Retrieve the top 5 highest values from the 'What is your age? 👶🏻👵🏻' column.,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_ages = dataset['What is your age? 👶🏻👵🏻'].nlargest(5).tolist()
    return top_ages
",list of (uint8),"[65, 62, 60, 60, 59]","[65, 62, 60, 60, 59]"
List the bottom 6 skin tone values based on frequency.,What are the 6 least frequent skin tone values in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    skin_tone_counts = dataset['What is your skin tone?'].value_counts().nsmallest(6)
    least_frequent_skin_tones = skin_tone_counts.index.tolist()
    return least_frequent_skin_tones
",list of uint8,"[8, 7, 0, 6, 1, 2]","[2, 1, 6, 0, 7, 8]"
Are there any trips with a total distance greater than 30 miles?,Does the dataset contain any records where the trip distance exceeds 30 miles?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    has_long_trip = (dataset[""trip_distance""] > 30).any()
    return has_long_trip",bool,False,False
Were there any trips that cost more than $100 in total?,Are there any records where the total_amount exceeds 100 dollars?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    has_records = (dataset[""total_amount""] > 100).any()
    return has_records
",bool,False,False
Is there any trip with more than 6 passengers?,Are there any records in the dataset where the passenger count exceeds 6?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    has_records = (dataset[""passenger_count""] > 6).any()
    return has_records",bool,False,False
Did all the trips use a payment type of either 1 or 2?,Are all the trips in the dataset paid using payment type 1 or 2?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    unique_payment_types = dataset[""payment_type""].unique()
    all_valid = all(pt in {1, 2} for pt in unique_payment_types)
    
    return all_valid
",bool,False,False
What is the maximum fare amount charged for a trip?,What is the highest value in the fare_amount column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    max_fare = dataset[""fare_amount""].max()
    return max_fare
",float64,75.25,75.25
How many unique pickup locations are in the dataset?,What is the count of distinct PULocationID values in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    distinct_pulocation_count = dataset[""PULocationID""].nunique()
    return distinct_pulocation_count
",int64,96,96
What is the average tip amount given by passengers?,Calculate the mean of the tip amount column for all passengers.,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    mean_tip_amount = dataset[""tip_amount""].mean()
    return mean_tip_amount
",float64,2.7366810000000000,2.74
How many trips took place in the airport area?,What is the count of trips where the pickup or dropoff location is in the airport area?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    airport_trips = dataset[(dataset['PULocationID'] == 1) | (dataset['DOLocationID'] == 1)]
    count = len(airport_trips)
    
    return count",int64,0,99807
Which payment type is the most common in the dataset?,What is the payment type that occurs most frequently in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    payment_type_counts = dataset[""payment_type""].value_counts()
    most_frequent_payment_type = payment_type_counts.idxmax()
    
    return most_frequent_payment_type",uint8,1,1
Which vendor has the most trips recorded?,What is the VendorID with the highest count of trips in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    vendor_counts = dataset['VendorID'].value_counts()
    max_vendor = vendor_counts.idxmax()
    return str(max_vendor)
",string,2,2
What is the most common drop-off location?,Which drop-off location ID appears most frequently in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    most_frequent_dropoff = dataset[""DOLocationID""].mode()[0]
    return most_frequent_dropoff",uint16,236,236
On which date did the first recorded trip occur?,What is the earliest pickup datetime recorded in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    earliest_pickup = dataset[""tpep_pickup_datetime""].min()
    return earliest_pickup","datetime64[us, UTC]",31-01-2023 23:52,31-01-2023
Which are the top 2 most frequent pickup locations?,What are the two most common PULocationID values in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_locations = dataset['PULocationID'].value_counts().nlargest(2).index.tolist()
    return top_locations
",list of (uint16),"[161, 237]","[161, 237]"
Name the 4 most common rate codes used.,What are the top 4 rate codes that appear most frequently in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_rate_codes = dataset['RatecodeID'].value_counts().head(4).index.tolist()
    return top_rate_codes
",list of uint8,"[1, 2, 5, 4]","[1, 2, 5, 4]"
list the 2 most frequent store and forward flags.,What are the top 2 most common values in the store_and_fwd_flag column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_values = dataset[""store_and_fwd_flag""].value_counts().head(2).index.tolist()
    return top_values",list of string,"['N', 'Y']","['N', 'Y']"
Identify the top 4 payment types used by frequency,What are the 4 most frequently occurring payment types in the dataset?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    payment_counts = dataset['payment_type'].value_counts().head(4)
    top_payment_types = payment_counts.index.tolist()
    top_payment_types = [str(payment) for payment in top_payment_types]
    
    return top_payment_types",list of (string),"['1', '2', '4', '3']","[1, 2, 4, 3]"
Report the 4 highest toll amounts paid.,What are the top 4 toll amounts paid in descending order?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_tolls = dataset.nlargest(4, 'tolls_amount')['tolls_amount'].tolist()
    return top_tolls
",list of (float64),"[0, 0, 0, 0]","[0, 0, 0, 0]"
list the top 3 longest trip distances,What are the 3 highest values in the trip distance column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_distances = dataset[""trip_distance""].nlargest(3).tolist()
    return top_distances
",list of float64,"[19.83, 19.74, 19.68]","[19.83, 19.74, 19.68]"
Identify the 5 largest total amounts paid for trips.,What are the top 5 highest values in the total_amount column?,"def answer_question(dataset, datasetTableSchema, question, expectedAnswerType):
    top_5_amounts = dataset.nlargest(5, 'total_amount')['total_amount'].tolist()
    return top_5_amounts
",list of float64,"[80.0, 80.0, 80.0, 80.0, 79.55]","[80.0, 80.0, 80.0, 80.0, 80.0]"
